,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
0,41934.0,NGC4548,NGC4548,12352642+1429467,,G,188.860123,14.49632,17.700979041700002,,0.00411957205979,10.85,0.3,,8.266,0.016,7.6,0.017,7.367999999999999,0.018000000000000002,3,0,0.102,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (188.860123, 14.49632)>",0.0,False
1,39206.0,NGC4207,NGC4207,12153043+0935057,,G,183.876816,9.58494,19.9533266021,,0.00464184232092,13.36,0.3,,10.562000000000001,0.02,9.816,0.023,9.527999999999999,0.034,3,0,0.047,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (183.876816, 9.58494)>",0.0,False
2,38244.0,NGC4080,NGC4080,12045180+2659334,,G,181.21585100000001,26.992620000000002,36.770992454,,0.008528,13.232999999999999,,,11.949000000000002,0.027000000000000003,11.312000000000001,0.036000000000000004,11.04,0.059000000000000004,3,0,0.068,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (181.215851, 26.99262)>",0.0,False
3,42497.0,PGC042497,PGC042497,12405033+0431324,,G,190.209732,4.525678,11.1113043618,,0.0025890912945500002,15.31,0.38,,15.341,0.102,14.619000000000002,0.10800000000000001,14.485999999999999,0.19899999999999998,2,0,0.074,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (190.209732, 4.525678)>",0.0,False
4,45242.0,NGC4948A,NGC4948A,13050578-0809407,,G,196.274094,-8.161321000000001,11.5348852455,,0.00268758134379,13.83,0.3,,13.285,0.066,12.764000000000001,0.085,12.379000000000001,0.149,2,0,0.112,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (196.274094, -8.161321)>",0.0,False
5,43671.0,NGC4753,NGC4753,12522211-0111588,,G,193.09213300000002,-1.19969,16.039348111400002,,0.00547491273746,10.84,0.3,-20.1859,7.78,0.015,7.084,0.016,6.832000000000001,0.017,3,1,0.088,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (193.092133, -1.19969)>",0.0,False
6,23997.0,NGC2613,NGC2613,08332284-2258252,,G,128.345169,-22.973669,27.9732133295,,0.00560196280098,10.47,0.3,-21.7637,7.91,0.016,7.185,0.016,6.891,0.017,3,1,0.238,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (128.345169, -22.973669)>",0.0,False
7,13419.0,NGC1395,NGC1395,03382978-2301396,,G,54.62411899999999,-23.027691,27.0560427051,,0.008662000000000001,11.470999999999998,,-20.6903,7.971,0.016,7.284,0.016,7.024,0.017,3,1,0.062,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (54.624119, -23.027691)>",0.0,False
8,37306.0,NGC3953,NGC3953,11534902+5219355,,G,178.454285,52.326541999999996,19.4622110325,,0.007663,10.011000000000001,,-21.435,8.099,0.016,7.476,0.016,7.196000000000001,0.017,3,1,0.08,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (178.454285, 52.326542)>",0.0,False
9,9057.0,NGC0908,NGC0908,02230456-2114018,,G,35.769039,-21.23385,25.3912065311,,0.0036729018364499997,10.46,0.3,-21.5634,8.298,0.016,7.621,0.017,7.365,0.019,3,1,0.067,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (35.769039, -21.23385)>",0.0,False
