,Dec,Galaxies,RA
0,14.49632,['NGC4548'],188.860123
1,9.58494,['NGC4207'],183.876816
2,26.99262,['NGC4080'],181.215851
3,4.525678,['PGC042497'],190.209732
4,-1.19969,['NGC4753'],193.092133
5,-23.027691,['NGC1395'],54.62411899999999
6,52.326542,['NGC3953'],178.454285
7,-21.23385,['NGC0908'],35.769039
8,50.48468,['NGC4157'],182.768188
9,8.19776,['NGC4535'],188.584625
10,-20.5793,['NGC1232'],47.43964
11,-13.974986,['NGC3962'],178.667099
12,-8.48514,['NGC7606'],349.7700200000001
13,40.461769,['NGC5371'],208.916763
14,28.175299,['NGC4251'],184.534607
15,-20.611027,['NGC5087'],200.104004
16,-1.0910799999999998,['NGC5792'],224.59462
17,49.45780900000001,['NGC5676'],218.195221
18,-16.312717000000006,['NGC2811'],139.046249
19,47.029091,['NGC3726'],173.338226
20,-11.909479,['NGC2855'],140.36454799999998
21,46.993881,['NGC4346'],185.866425
22,5.363601999999998,['NGC5701'],219.796005
23,-14.26978,['NGC5878'],228.440384
24,-23.633236,['NGC2815'],139.082275
25,74.568398,['NGC6643'],274.943207
26,-23.08679,['NGC3511'],165.84903
27,-22.867161,['NGC1187'],45.656609
28,-12.961023,['NGC7723'],354.737885
29,20.752338,['NGC7817'],0.995411
30,-10.454795,['NGC4742'],192.950165
31,54.89262,['NGC5473'],211.180176
32,-2.727538,['NGC4684'],191.822861
33,-0.28921,['NGC5713'],220.048035
34,-13.8728,['NGC0210'],10.14592
35,-5.043663,['NGC5493'],212.872421
36,42.835464,['NGC1186'],46.378532
37,-23.166616,['NGC4462'],187.337906
38,-7.512604,['NGC0636'],24.777205
39,5.250488,['NGC4324'],185.775726
40,-13.488007,['NGC1421'],55.622021
41,33.57888,['NGC0925'],36.820469
42,-14.816586,['NGC2781'],137.864609
43,-0.223054,['NGC5750'],221.546265
44,-12.055349,['NGC4802'],193.956802
45,21.882166,['NGC3301'],159.233459
46,16.607893,['NGC5962'],234.131851
47,-20.477152,['NGC2983'],145.921234
48,-6.7775820000000015,['NGC4981'],197.203064
49,-7.340299000000001,['NGC0615'],23.773647
50,-11.871423,['NGC1784'],76.36299100000002
51,84.382271,['NGC2268'],108.57267
52,-3.332918,['NGC4691'],192.056961
53,62.31003199999999,['NGC6015'],237.855133
54,-0.498703,['NGC1087'],41.604889
55,0.7093149999999999,['NGC6070'],242.494522
56,-23.475939,['NGC2271'],100.720818
57,9.043552,['NGC4307'],185.523438
58,14.285502,['NGC2648'],130.66593899999998
59,-23.16427,['NGC3955'],178.48808300000005
60,-18.633619,['NGC1452'],56.342941
61,-18.775522,['IC2367'],126.042038
62,3.052741,['NGC5864'],227.389786
63,18.443451,['NGC4064'],181.046631
64,60.47929,['NGC2742'],136.889694
65,0.469967,['NGC5869'],227.456055
66,-25.725185,['NGC1255'],48.38353
67,-13.174736,['NGC2612'],128.45842
68,76.811722,['UGC03431'],94.840141
69,22.915470000000006,['NGC5012'],197.904404
70,-6.517862999999998,['NGC7721'],354.702698
71,78.08515899999998,['NGC2715'],137.025818
72,16.590173999999998,['NGC3655'],170.727524
73,2.96417,['NGC3630'],170.070786
74,-17.542393,['PGC045877'],198.147644
75,-10.25736,['NGC3637'],170.16488600000002
76,3.628037,['NGC3495'],165.317368
77,14.787126,['NGC3596'],168.775925
78,-25.845751,['IC4310'],204.738083
79,9.264087,['NGC0532'],21.322283
80,15.461305,['NGC4421'],186.76062
81,17.225601,['NGC7625'],350.1255490000001
82,19.232361,['NGC7241'],333.957825
83,15.537920000000002,['NGC4312'],185.630661
84,-3.442911,['NGC4348'],185.974838
85,0.336484,['NGC2967'],145.51388500000004
86,-15.221107,['NGC1354'],53.122368
87,79.18737800000002,['NGC2732'],138.353195
88,-22.66721,['NGC0578'],22.61895
89,3.409972,['NGC0470'],19.936853
90,43.87204000000001,['NGC5297'],206.598724
91,41.67609,['NGC5930'],231.533279
92,56.270725,['NGC3780'],174.84321599999996
93,-6.49382,['NGC4951'],196.282074
94,-2.829532,['NGC5937'],232.69223
95,54.475685,['NGC5687'],218.718201
96,85.158905,['IC0469'],118.996277
97,46.107407,['NGC5301'],206.602539
98,43.047405,['NGC1138'],44.151802
99,15.980365,['NGC7448'],345.014954
100,22.55304,['NGC2577'],125.681137
101,6.401132,['NGC4215'],183.977142
102,-19.09993,['NGC1297'],49.809208
103,-23.310045,['NGC1979'],83.50466899999998
104,22.08326,['NGC2365'],110.593948
105,28.574266,['NGC1056'],40.701195
106,7.038786999999999,['NGC4180'],183.262726
107,24.711092,['NGC3098'],150.569458
108,-7.5628,['IC3908'],194.169266
109,1.57965,['NGC3044'],148.420349
110,-20.675093,['ESO581-025'],228.378891
111,-3.14886,['NGC5507'],213.332825
112,6.6899880000000005,['IC3102'],184.357605
113,-21.963373,['ESO563-028'],132.689377
114,-23.725975,['IC2627'],167.472504
115,-14.853581,['NGC5756'],221.890457
116,-21.567318,['NGC2106'],87.694244
117,-25.326925,['ESO506-033'],190.057632
118,-18.635132,['NGC1145'],43.639637
119,-23.810196,['NGC1886'],80.45060699999998
