Name,RA,Dec,dist,B_Mag,J_Mag,K_Mag,Type,Av,Num_HST
NGC4485,187.629639,41.701172,0.8695388606,12.19,11.234,10.58,G,0.333,1.80E+01
NGC5055,198.955536,42.029289,1.040909759,9.13,6.697,5.728,G,0.265,3.60E+01
NGC4244,184.373581,37.80711,1.169445104,9.83,8.948,8.11,G,0.036,2.00E+01
NGC4659,191.122391,13.498675,1.21657627,12.956,10.271,9.411,G,0.289,1.00E+00
NGC4460,187.189819,44.864235,1.645079316,12.3,10.074,9.176,G,0.206,1.00E+00
NGC4258,184.740082,47.303719,1.692218819,8.56,6.512,5.598,G,0.054,7.90E+01
NGC5474,211.256699,53.662209,1.756501292,11.29,10.665,9.891,G,0.288,2.40E+01
PGC041959,188.905136,12.382066,1.859356444,15.372,12.607,11.729,G,0.304,6.00E+00
NGC4490,187.651535,41.643631,2.069364591,9.91,8.364,7.514,G,0.395,1.50E+01
NGC5238,203.677078,51.613743,2.155086913,13.3,15.658,14.725,G,0.039,1.50E+01
NGC4150,182.640228,30.401487,2.356545119,12.192,9.983,9.053,G,0.035,2.90E+01
NGC4248,184.457932,47.409157,2.40369709,13.19,11.447,10.586,G,0.041,1.00E+01
NGC5194,202.469574,47.195259,2.493716783,8.68,6.517,5.601,G,0.021,1.35E+02
NGC4526,188.512619,7.69914,2.523724016,10.441,7.546,6.552,G,0.294,1.30E+01
NGC5195,202.498291,47.266129,2.583739486,10.53,7.361,6.402,G,0.047,5.10E+01
NGC4594,189.997894,-11.62307,3.659958147,8.52,5.942,5.009,G,0.131,3.90E+01
NGC4550,188.877548,12.220955,3.66424673,12.156,9.609,8.75,G,0.235,1.40E+01
NGC0247,11.78564,-20.760401,3.750321926,8.66,8.901,8.18,G,0.101,2.40E+01
NGC0253,11.88806,-25.288799,3.92595099,7.34,4.874,3.822,G,0.188,3.30E+01
NGC3034,148.96846,69.679703,4.702284662,9.15,5.881,4.691,G,0.423,1.40E+02
NGC4531,188.566025,13.075527,5.127051725,12.275,9.801,8.906,G,0.18,1.20E+01
IC2574,157.097839,68.41214,5.822269337,10.79,13.092,12.488,G,0.057,1.00E+01
NGC4144,182.494171,46.45718,6.668147514,11.2,10.661,9.922,G,0.047,4.00E+00
PGC045084,195.819733,-17.423031,6.917904128,12.74,14.361,13.333,G,0.16,2.00E+00
NGC4328,185.833511,15.820545,8.083138721,14.08,12.567,11.723,G,0.261,2.50E+01
NGC4571,189.234879,14.217357,8.304195808,11.75,9.708,8.883,G,0.195,1.60E+01
NGC4552,188.916183,12.55604,8.566262124,11.312,7.78,6.855,G,0.28,3.20E+01
NGC4600,190.095825,3.117687,8.677970231,12.93,10.841,9.953,G,0.126,1.10E+01
NGC2835,139.470444,-22.354679,8.922884901,10.252,9.221,8.364,G,0.193,3.00E+00
NGC4286,185.175385,29.345963,9.056093406,13.918,12.208,11.296,G,0.144,2.00E+00
NGC0045,3.51662,-23.182091,9.765216639,11.03,10.796,10.074,G,0.088,3.00E+01
PGC009892,39.147789,59.654591,9.851183579,7.5,6.317,4.749,G,0.031,5.00E+00
NGC3593,168.654175,12.81802,10.16928496,11.7,8.578,7.561,G,0.207,5.00E+00
NGC0024,2.48559,-24.963131,10.61210982,11.4,10.027,9.215,G,0.042,9.00E+00
NGC2337,107.55658,44.457336,10.62070908,12.465,11.48,10.668,G,0.061,4.00E+00
NGC3274,158.072006,27.668774,10.68520437,12.919,11.912,11.116,G,0.064,1.80E+01
NGC4504,188.072723,-7.563428,10.74110153,11.5,10.294,9.498,G,0.452,3.00E+00
ESO572-034,179.742142,-19.029909,10.81871992,13.52,13.899,13.05,G,0.113,4.00E+00
NGC4096,181.504837,47.478359,10.83139938,10.33,8.965,8.009,G,0.058,1.00E+00
NGC5949,232.002792,64.763153,10.93890073,12.4,10.279,9.425,G,0.051,1.00E+01
NGC4818,194.203781,-8.525299,11.00340359,11,8.993,8.036,G,0.058,1.00E+00
NGC3521,166.452469,-0.0359,11.29153507,9.4,6.831,5.868,G,0.2,6.00E+00
NGC3513,165.942001,-23.24548,11.30873791,11.7,10.423,9.665,G,0.084,3.00E+00
NGC2500,120.471771,50.737099,11.46356844,12.05,10.79,9.968,G,0.475,1.20E+01
NGC3344,160.879791,24.92222,11.55819144,10.45,8.508,7.7,G,0.232,2.80E+01
IC1727,26.87454,27.333349,11.69583078,11.43,12.835,12.039,G,0.332,1.90E+01
NGC3377,161.926666,13.98564,11.97113039,11.321,8.476,7.612,G,0.317,1.50E+01
